WorkoutType;WorkoutDay;Distance in km;PowerAverage;PowerMax;time;HeartRateAverage;HeartRateMax;TSS;HRZone1Minutes;HRZone2Minutes;HRZone3Minutes;HRZone4Minutes;HRZone5Minutes;PWRZone1Minutes;PWRZone2Minutes;PWRZone3Minutes;PWRZone4Minutes;PWRZone5Minutes;PWRZone6Minutes;time_standardized
MTB;2023-11-07;37,69901172;;;02:27:04;131;176;150,05;28;82;3;5;29;;;;;;;02:27:00
Bike;2023-11-07;27,30738086;;;01:08:21;119;153;47,79;17;49;2;0;0;;;;;;;01:08:00
Run;2023-11-08;4,68975;;;00:27:07;133;150;37,6;1;18;8;0;0;;;;;;;00:27:00
Bike;2023-11-08;44,06921094;;;03:06:18;121;143;130,44;37;149;0;0;0;;;;;;;03:06:00
Day Off;2023-11-09;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Run;2023-11-10;3,614870117;;;00:20:54;129;143;28,63;1;19;1;0;0;;;;;;;00:20:00
MTB;2023-11-10;37,47278125;;;02:46:03;121;160;120,94;39;116;8;3;0;;;;;;;02:46:00
Bike;2023-11-10;14,73491016;;;00:31:03;116;139;20,78;7;24;0;0;0;;;;;;;00:31:00
MTB;2023-11-11;54,75226953;;;03:36:33;127;161;170;24;164;26;2;0;;;;;;;03:36:00
Bike;2023-11-11;7,73577002;;;00:32:05;114;134;11,3;5;13;0;0;0;;;;;;;00:32:00
Run;2023-11-11;4,048959961;;;00:24:33;129;150;36,4;4;13;7;0;0;;;;;;;00:24:00
Run;2023-11-12;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-11-12;14,60855957;;;00:33:57;114;139;22,76;11;23;0;0;0;;;;;;;00:33:00
MTB;2023-11-12;54,13514063;;;04:01:15;123;163;181;52;176;7;5;0;;;;;;;04:01:00
Day Off;2023-11-13;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Walk;2023-11-13;4,487089844;;;01:25:56;108;137;13,88;40;46;0;0;0;;;;;;;01:25:00
Run;2023-11-14;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-11-14;39,05901953;;;02:43:26;121;151;116,39;36;125;3;0;0;;;;;;;02:43:00
Custom;2023-11-14;0;;;00:15:00;;;;;;;;;;;;;;;00:15:00
MTB;2023-11-14;0;;;00:30:00;;;;;;;;;;;;;;;00:30:00
MTB;2023-11-15;44,92060156;;;02:17:44;132;176;154,42;39;55;5;4;34;;;;;;;02:17:00
Bike;2023-11-15;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-11-15;9,191639648;;;00:47:51;121;145;35,29;12;33;2;0;0;;;;;;;00:47:00
